Field_ID,Type,Required,Controlled_Values,Description,Version
$defs.requirement_finding.historical_finding_preserved,boolean,YES,,,v4.2
$defs.gap,object,NO,,,v4.2
$defs.gap.gap_id,string,YES,,,v4.2
$defs.gap.linked_requirement_ids,array,YES,,,v4.2
$defs.gap.linked_requirement_ids[],string,NO,,,v4.2
$defs.gap.linked_claim_ids,array,YES,,,v4.2
$defs.gap.linked_claim_ids[],string,NO,,,v4.2
$defs.gap.priority,string,YES,P0 | P1 | P2,,v4.2
$defs.gap.missing_evidence,string,YES,,,v4.2
$defs.gap.request_text,string,YES,,,v4.2
$defs.gap.closure_criterion,string,YES,,,v4.2
$defs.gap.responsible_actor,string,NO,,,v4.2
$defs.gap.state,string,YES,OPEN | REQUEST READY | REQUEST ISSUED | PARTIAL RESPONSE | CLOSED | INAPPLICABLE,,v4.2
$defs.gap.response_evidence_ids,array,NO,,,v4.2
$defs.gap.response_evidence_ids[],string,NO,,,v4.2
$defs.gap.remaining_limitation,string,NO,,,v4.2
$defs.gap.evidence_access_state,string,NO,PUBLICLY RETRIEVED | PUBLIC METADATA ONLY | CONTROLLED PUBLIC EXTRACT | KNOWN PRIVATE RECORD REQUIRED | KNOWN REGULATOR-HELD RECORD | KNOWN MANUFACTURER-HELD RECORD | KNOWN SPONSOR-HELD RECORD | KNOWN SITE-HELD RECORD | PARTICIPANT-CONTROLLED RECORD | EXISTENCE UNKNOWN | EVALUATION NOT EXECUTED | NOT APPLICABLE,,v4.2
$defs.bounded_decision,object,NO,,,v4.2
$defs.bounded_decision.decision_id,string,YES,,,v4.2
$defs.bounded_decision.decision_class,string,YES,PUBLIC EVIDENCE SUFFICIENT FOR BOUNDED CLAIM | PUBLIC EVIDENCE PARTIAL — PRIVATE EVIDENCE REQUIRED | INSUFFICIENT OR INADMISSIBLE EVIDENCE | PROHIBITED OR DISPROPORTIONATE USE | SYNTHETIC GOVERNANCE FINDING ONLY | NO DECISION — ASSESSMENT INCOMPLETE,,v4.2
$defs.bounded_decision.system_and_version,string,YES,,,v4.2
$defs.bounded_decision.profile_id,string,YES,AP-1 | AP-2 | AP-3 | AP-4 | AP-5 | AP-6,,v4.2
$defs.bounded_decision.target_level,string,YES,CL-0 | CL-1 | CL-2 | CL-3 | CL-4 | CL-5,,v4.2
$defs.bounded_decision.scope,object,YES,,,v4.2
$defs.bounded_decision.scope.population,string,YES,,,v4.2
$defs.bounded_decision.scope.context,string,YES,,,v4.2
